Date,Open,High,Low,Close,Volume,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
5/18/2023,173.0000,175.2400,172.5800,175.0500,65500000.0000,0.0227,0.8781,0.0993,0.5308
5/19/2023,176.3900,176.3900,174.9400,175.1600,55810000.0000,0.0443,0.8611,0.0946,0.4491
5/22/2023,173.9800,174.7100,173.4500,174.2000,43570000.0000,0.0335,0.8874,0.0790,0.4116
5/23/2023,173.1300,173.3800,171.2700,171.5600,50750000.0000,0.0496,0.8488,0.1016,0.4025
5/24/2023,171.0900,172.4200,170.5200,171.8400,45140000.0000,0.0152,0.8730,0.1122,0.9538
5/25/2023,172.4100,173.9000,171.6900,172.9900,56060000.0000,0.0321,0.8600,0.1081,0.8473
5/26/2023,173.3200,175.7700,173.1100,175.4300,54840000.0000,0.0452,0.7950,0.1598,0.9480
5/30/2023,176.9600,178.9900,176.5700,177.3000,55960000.0000,0.0366,0.8100,0.1529,0.9074
5/31/2023,177.3200,179.3500,176.7600,177.2500,99630000.0000,0.0220,0.8474,0.1307,0.7522
6/1/2023,177.7000,180.1200,176.9300,180.0900,68900000.0000,0.0287,0.8799,0.0915,0.4807
6/2/2023,181.0300,181.7800,179.2600,180.9500,62000000.0000,0.0268,0.8682,0.1050,0.5531
6/5/2023,182.6300,184.9500,178.0400,179.5800,121950000.0000,0.0303,0.8851,0.0845,0.5647
6/6/2023,179.9600,180.1200,177.4300,179.2100,64850000.0000,0.0347,0.8640,0.1013,0.4193
6/7/2023,178.4400,181.2100,177.3200,177.8200,61940000.0000,0.0220,0.8622,0.1159,0.7054
6/8/2023,177.9000,180.8400,177.4600,180.5700,50210000.0000,0.0262,0.8630,0.1110,0.5839
6/9/2023,181.5000,182.2300,180.6300,180.9600,48900000.0000,0.0372,0.8875,0.0752,0.3597
6/12/2023,181.2700,183.8900,180.9700,183.7900,54760000.0000,0.0163,0.9039,0.0799,0.6210
6/13/2023,182.8000,184.1500,182.4400,183.3100,54930000.0000,0.0277,0.8734,0.0990,0.6292
6/14/2023,183.3700,184.3900,182.0200,183.9500,57460000.0000,0.0364,0.8493,0.1144,0.7591
6/15/2023,183.9600,186.5200,183.7800,186.0100,65430000.0000,0.0259,0.8642,0.1100,0.7667
6/16/2023,186.7300,186.9900,184.2700,184.9200,101260000.0000,0.0231,0.8640,0.1129,0.8469
6/20/2023,184.4100,186.1000,184.4100,185.0100,49800000.0000,0.0246,0.8601,0.1153,0.8614
6/21/2023,184.9000,185.4100,182.5900,183.9600,49520000.0000,0.0238,0.8706,0.1056,0.5341
6/22/2023,183.7400,187.0400,183.6700,187.0000,51250000.0000,0.0307,0.8500,0.1194,0.7046
6/23/2023,185.5500,187.5600,185.0100,186.6800,53120000.0000,0.0298,0.8584,0.1120,0.6112
6/26/2023,186.8300,188.0500,185.2300,185.2700,48090000.0000,0.0440,0.8563,0.0998,0.4406
6/27/2023,185.8900,188.3900,185.6700,188.0600,50730000.0000,0.0568,0.8599,0.0834,0.1179
6/28/2023,187.9300,189.9000,187.6000,189.2500,51220000.0000,0.0337,0.8875,0.0789,0.4795
6/29/2023,189.0800,190.0700,188.9400,189.5900,46350000.0000,0.0455,0.8643,0.0901,0.3186
6/30/2023,191.6300,194.4800,191.2600,193.9700,85210000.0000,0.0243,0.8811,0.0946,0.5038
7/3/2023,193.7800,193.8800,191.7600,192.4600,31460000.0000,0.0314,0.8581,0.1105,0.6700
7/5/2023,191.5700,192.9800,190.6200,191.3300,46920000.0000,0.0485,0.8600,0.0916,0.6044
7/6/2023,189.8400,192.0200,189.2000,191.8100,45160000.0000,0.0244,0.8910,0.0846,0.5652
7/7/2023,191.4100,192.6700,190.2400,190.6800,46820000.0000,0.0470,0.8380,0.1150,0.6327
7/10/2023,189.2600,189.9900,187.0400,188.6100,59920000.0000,0.0259,0.8691,0.1051,0.4885
7/11/2023,189.1600,189.3000,186.6000,188.0800,46640000.0000,0.0179,0.8872,0.0949,0.7313
7/12/2023,189.6800,191.7000,188.4700,189.7700,60750000.0000,0.0256,0.8528,0.1215,0.5783
7/13/2023,190.5000,191.1900,189.7800,190.5400,41340000.0000,0.0226,0.8604,0.1168,0.6919
7/14/2023,190.2300,191.1800,189.6300,190.6900,41620000.0000,0.0186,0.8553,0.1261,0.7479
7/17/2023,191.9000,194.3200,191.8100,193.9900,50520000.0000,0.0240,0.8691,0.1068,0.7421
7/18/2023,193.3500,194.3300,192.4100,193.7300,48350000.0000,0.0310,0.8676,0.1014,0.5442
7/19/2023,193.1000,198.2300,192.6500,195.1000,80510000.0000,0.0326,0.8723,0.0949,0.5855
7/20/2023,195.0900,196.4700,192.4900,193.1300,59580000.0000,0.0312,0.8462,0.1225,0.7428
7/21/2023,194.1000,194.9700,191.2300,191.9400,71950000.0000,0.0305,0.8394,0.1302,0.7008
7/24/2023,193.4100,194.9100,192.2500,192.7500,45510000.0000,0.0228,0.9020,0.0752,0.4255
7/25/2023,193.3300,194.4400,192.9100,193.6200,37280000.0000,0.0475,0.8543,0.0982,0.5308
7/26/2023,193.6700,195.6400,193.3200,194.5000,47470000.0000,0.0474,0.8527,0.1000,0.5782
7/27/2023,196.0200,197.2000,192.5500,193.2200,47460000.0000,0.0388,0.8584,0.1028,0.7311
7/28/2023,194.6700,196.6300,194.1400,195.8300,48290000.0000,0.0208,0.8420,0.1373,0.6715
7/31/2023,196.0600,196.4900,195.2600,196.4500,38820000.0000,0.0253,0.8719,0.1029,0.6877
8/1/2023,196.2400,196.7300,195.2800,195.6000,35280000.0000,0.0195,0.8684,0.1121,0.7399
8/2/2023,195.0400,195.1800,191.8500,192.5800,50390000.0000,0.0253,0.8412,0.1334,0.7198
8/3/2023,191.5700,192.3700,190.6900,191.1700,62240000.0000,0.0574,0.8478,0.0948,0.4620
8/4/2023,185.5200,187.3800,181.9200,181.9900,115960000.0000,0.0451,0.8570,0.0979,0.5843
8/7/2023,182.1300,183.1300,177.3500,178.8500,97580000.0000,0.0422,0.8680,0.0899,0.5843
8/8/2023,179.6900,180.2700,177.5800,179.8000,67820000.0000,0.0204,0.8634,0.1161,0.6919
8/9/2023,180.8700,180.9300,177.0100,178.1900,60380000.0000,0.0574,0.8318,0.1108,0.4126
8/10/2023,179.4800,180.7500,177.6000,177.9700,54690000.0000,0.0323,0.8461,0.1215,0.8414
8/11/2023,177.3200,178.6200,176.5500,177.7900,52040000.0000,0.0281,0.8578,0.1142,0.6253
8/14/2023,177.9700,179.6900,177.3000,179.4600,43680000.0000,0.0380,0.8506,0.1115,0.4347
8/15/2023,178.8800,179.4800,177.0500,177.4500,43620000.0000,0.0228,0.8696,0.1074,0.5472
8/16/2023,177.1300,178.5400,176.5000,176.5700,46960000.0000,0.0211,0.8900,0.0889,0.7361
8/17/2023,177.1400,177.5100,173.4800,174.0000,66060000.0000,0.0438,0.8499,0.1064,0.4086
8/18/2023,172.3000,175.1000,171.9600,174.4900,61170000.0000,0.0329,0.8396,0.1274,0.7936
8/21/2023,175.0700,176.1300,173.7400,175.8400,46310000.0000,0.0318,0.8640,0.1041,0.6098
8/22/2023,177.0600,177.6800,176.2500,177.2300,42080000.0000,0.0352,0.8519,0.1128,0.6604
8/23/2023,178.5200,181.5500,178.3200,181.1200,52720000.0000,0.0330,0.8430,0.1239,0.6696
8/24/2023,180.6700,181.1000,176.0100,176.3800,54950000.0000,0.0323,0.8655,0.1022,0.6281
8/25/2023,177.3800,179.1500,175.8200,178.6100,51450000.0000,0.0299,0.8801,0.0900,0.5475
8/28/2023,180.0900,180.5900,178.5400,180.1900,43820000.0000,0.0412,0.8708,0.0880,0.5558
8/29/2023,179.7000,184.9000,179.5000,184.1200,53000000.0000,0.0215,0.8984,0.0801,0.6402
8/30/2023,184.9400,187.8500,184.7400,187.6500,60810000.0000,0.0328,0.8855,0.0819,0.5852
8/31/2023,187.8400,189.1200,187.4800,187.8700,60790000.0000,0.0276,0.8387,0.1338,0.6574
9/1/2023,189.4900,189.9200,188.2800,189.4600,45770000.0000,0.0303,0.8536,0.1161,0.8534
9/5/2023,188.2800,189.9800,187.6100,189.7000,45280000.0000,0.0156,0.8919,0.0927,0.5357
9/6/2023,188.4000,188.8500,181.4700,182.9100,81760000.0000,0.0515,0.8729,0.0755,0.2266
9/7/2023,175.1800,178.2100,173.5400,177.5600,112490000.0000,0.0759,0.8595,0.0645,0.0815
9/8/2023,178.3500,180.2400,177.7900,178.1800,65600000.0000,0.0557,0.8643,0.0800,0.2539
9/11/2023,180.0700,180.3000,177.3400,179.3600,58950000.0000,0.0326,0.8719,0.0954,0.5501
9/12/2023,179.4900,180.1300,174.8200,176.3000,90370000.0000,0.0314,0.8983,0.0703,0.4494
9/13/2023,176.5100,177.3000,173.9800,174.2100,84270000.0000,0.0365,0.8783,0.0852,0.4979
9/14/2023,174.0000,176.1000,173.5800,175.7400,60900000.0000,0.0380,0.8654,0.0965,0.5179
9/15/2023,176.4800,176.4900,173.8200,175.0100,109260000.0000,0.0369,0.8758,0.0873,0.3681
