date,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
2021-10-11,0.0379375,0.8475,0.114625,0.598125
2021-10-12,0.04769697,0.8790606,0.07312121,0.1699697
2021-10-13,0.06623077,0.8680769,0.065596156,0.04478846
2021-10-14,0.038548388,0.87003225,0.09138709,0.6153871
2021-10-15,0.057785716,0.84075,0.10146429,0.42339286
2021-10-18,0.024272727,0.89352727,0.08229091,0.56103635
2021-10-19,0.016560975,0.9209268,0.06263415,0.3894878
2021-10-20,0.0158125,0.886375,0.097875,0.648
2021-10-21,0.054323528,0.859,0.08661765,0.38861763
2021-10-22,0.052458335,0.8720625,0.07541667,0.33729166
2021-10-25,0.03445946,0.86554056,0.10008108,0.62575674
2021-10-26,0.04480488,0.86258537,0.09268293,0.6297805
2021-10-27,0.037611112,0.86008334,0.10227778,0.5658889
2021-10-28,0.03887805,0.87963414,0.0815122,0.50686586
2021-10-29,0.07285714,0.8473613,0.07981513,0.2862017
2021-11-01,0.052892856,0.849,0.098,0.47132143
2021-11-02,0.03916129,0.86587095,0.095129035,0.59280646
2021-11-03,0.034380954,0.85847616,0.107,0.69938093
2021-11-04,0.024586206,0.873069,0.10227586,0.5470345
2021-11-05,0.0375,0.86244446,0.10011111,0.49855554
2021-11-08,0.016,0.874,0.11,0.7765
2021-11-09,0.024473684,0.9016316,0.07405263,0.52652633
2021-11-10,0.046296295,0.875037,0.0787037,0.25588888
2021-11-11,0.019823529,0.8652941,0.11494118,0.7629412
2021-11-12,0.04633333,0.8652963,0.088296294,0.35862964
2021-11-15,0.026307693,0.8873846,0.08661538,0.8195385
2021-11-16,0.023793103,0.8872759,0.08893103,0.55506897
2021-11-17,0.04083333,0.87726665,0.0819,0.3579
2021-11-18,0.03440625,0.8905625,0.07509375,0.47628126
2021-11-19,0.036636364,0.8553636,0.10802273,0.45777273
2021-11-22,0.028130434,0.8597391,0.11204348,0.6642174
2021-11-23,0.05288,0.84404,0.10312,0.45032
2021-11-24,0.059,0.8582,0.08285,-0.0188
2021-11-26,0.035809524,0.87580955,0.088285714,0.40690476
2021-11-29,0.035166666,0.89,0.07472222,0.59794444
2021-11-30,0.06656,0.84304,0.09044,0.3896
2021-12-01,0.034333333,0.8728667,0.09283333,0.46393332
2021-12-02,0.0824,0.8418667,0.07575,0.092316665
2021-12-03,0.05471875,0.8596563,0.0856875,0.55434376
2021-12-06,0.049294118,0.8581471,0.09252941,0.5502647
2021-12-07,0.034367345,0.8721837,0.09346939,0.52932656
2021-12-08,0.038317073,0.8836585,0.07792683,0.43978047
2021-12-09,0.04421212,0.8599697,0.0959697,0.5372424
2021-12-10,0.027571429,0.88809526,0.08442857,0.59361905
2021-12-13,0.028517857,0.87476784,0.09673214,0.62276787
2021-12-14,0.041166667,0.8794074,0.07951852,0.4867037
2021-12-15,0.044954546,0.84831816,0.10672727,0.36972728
